Date;Value;Currency
2008-05-01;10.0000;EUR
2008-06-01;10.0000;EUR
2008-07-01;10.0000;EUR
2008-08-01;10.0320;EUR
2008-09-01;9.9480;EUR
2008-10-01;9.4110;EUR
2008-11-01;9.1620;EUR
2008-12-01;8.9360;EUR
2009-01-01;8.8090;EUR
2009-02-01;8.5660;EUR
2009-03-01;8.7600;EUR
2009-04-01;9.2220;EUR
2009-05-01;9.3500;EUR
2009-06-01;9.3300;EUR
2009-07-01;9.8400;EUR
2009-08-01;10.0010;EUR
2009-09-01;10.1490;EUR
2009-10-01;10.0400;EUR
2009-11-01;10.1810;EUR
2009-12-01;10.5380;EUR
2010-01-01;10.3980;EUR
2010-02-01;10.5560;EUR
2010-03-01;10.9610;EUR
2010-04-01;10.9200;EUR
2010-05-01;10.7450;EUR
2010-06-01;10.6740;EUR
2010-07-01;10.8190;EUR
2010-08-01;10.8050;EUR
2010-09-01;10.8360;EUR
2010-10-01;10.9010;EUR
2010-11-01;10.9330;EUR
2010-12-01;11.1100;EUR
2011-01-01;11.1550;EUR
2011-02-01;11.2770;EUR
2011-03-01;11.0220;EUR
2011-04-01;11.1170;EUR
2011-05-01;11.1610;EUR
2011-06-01;11.0600;EUR
2011-07-01;10.9370;EUR
2011-08-01;10.5260;EUR
2011-09-01;10.3670;EUR
2011-10-01;10.7050;EUR
2011-11-01;10.6830;EUR
2011-12-01;10.9640;EUR
2012-01-01;11.2520;EUR
2012-02-01;11.4460;EUR
2012-03-01;11.4990;EUR
2012-04-01;11.4360;EUR
2012-05-01;11.2110;EUR
2012-06-01;11.3870;EUR
2012-07-01;11.6840;EUR
2012-08-01;11.7190;EUR
2012-09-01;11.8170;EUR
2012-10-01;11.8130;EUR
2012-11-01;11.9770;EUR
2012-12-01;12.1210;EUR
2013-01-01;12.2890;EUR
2013-02-01;12.4360;EUR
2013-03-01;12.6450;EUR
2013-04-01;12.8890;EUR
2013-05-01;12.9060;EUR
2013-06-01;12.5710;EUR
2013-07-01;12.8580;EUR
2013-08-01;12.7130;EUR
2013-09-01;12.9860;EUR
2013-10-01;13.3250;EUR
2013-11-01;13.4480;EUR
2013-12-01;13.4520;EUR
2014-01-01;13.3020;EUR
2014-02-01;13.5710;EUR
2014-03-01;13.5770;EUR
2014-04-01;13.6100;EUR
2014-05-01;13.8960;EUR
2014-06-01;13.9300;EUR
2014-07-01;13.8900;EUR
2014-08-01;14.2160;EUR
2014-09-01;14.3390;EUR
2014-10-01;14.4580;EUR
2014-11-01;14.7750;EUR
2014-12-01;14.9710;EUR
2015-01-01;15.3600;EUR
2015-02-01;15.9620;EUR
2015-03-01;16.2440;EUR
2015-04-01;16.0820;EUR
2015-05-01;16.2610;EUR
2015-06-01;15.8880;EUR
2015-07-01;16.0580;EUR
2015-08-01;15.5150;EUR
2015-09-01;15.2440;EUR
2015-10-01;15.8740;EUR
2015-11-01;16.1350;EUR
2015-12-01;15.7730;EUR
2016-01-01;15.2820;EUR
2016-02-01;15.1080;EUR
2016-03-01;15.3080;EUR
2016-04-01;15.4020;EUR
2016-05-01;15.5780;EUR
2016-07-01;16.0240;EUR
2016-08-01;16.0630;EUR
2016-09-01;16.0710;EUR
2016-10-01;15.9360;EUR
2016-11-01;16.0560;EUR
2016-12-01;16.3920;EUR
2017-01-01;16.3570;EUR
2017-02-01;16.7300;EUR
2017-03-01;16.8240;EUR
2017-04-01;16.9110;EUR
2017-05-01;16.9470;EUR
2017-06-01;16.8730;EUR
2017-07-01;16.8990;EUR
2017-08-01;16.9350;EUR
2017-09-01;17.1520;EUR
2017-10-01;17.4370;EUR
2017-11-01;17.4540;EUR
2017-12-01;17.4920;EUR
2018-01-01;17.7450;EUR
2018-02-01;17.4460;EUR
2018-03-01;17.2200;EUR
2018-04-01;17.4690;EUR
2018-05-01;17.5060;EUR
2018-06-01;17.4700;EUR
2018-07-01;17.7960;EUR
2018-08-01;17.8020;EUR
2018-09-01;17.8850;EUR
2018-10-01;17.3590;EUR
2018-11-01;17.5120;EUR
2018-12-01;16.9480;EUR
2019-01-01;17.4260;EUR
2019-02-01;17.6950;EUR
2019-03-01;17.9860;EUR
2019-04-01;18.2520;EUR
2019-05-01;17.9130;EUR
2019-06-01;18.4450;EUR
2019-07-01;18.6910;EUR
2019-08-01;18.7000;EUR
2019-09-01;18.9590;EUR
2019-10-01;18.8070;EUR
2019-11-01;19.0090;EUR
2019-12-01;19.1160;EUR
2020-01-01;19.2540;EUR
2020-02-01;18.6770;EUR
2020-03-01;17.5350;EUR
2020-04-01;18.3900;EUR
2020-05-01;18.6040;EUR
2020-06-01;18.8940;EUR
2020-07-01;18.9750;EUR
2020-08-01;19.3020;EUR
2020-09-01;19.2030;EUR
2020-10-01;18.8660;EUR
2020-11-01;19.8610;EUR
2020-12-01;20.0780;EUR
2021-01-01;20.0790;EUR
2021-02-01;20.1170;EUR
2021-03-01;20.7720;EUR
2021-04-01;20.8840;EUR
2021-05-01;21.0410;EUR
2021-06-01;21.3170;EUR
2021-07-01;21.5420;EUR
2021-08-01;21.8110;EUR
2021-09-01;21.4010;EUR
2021-10-01;21.9770;EUR
2021-11-01;21.9040;EUR
2021-12-01;22.3950;EUR
2022-01-01;21.8600;EUR
2022-02-01;21.4400;EUR
2022-03-01;21.5990;EUR
2022-04-01;21.0210;EUR
2022-05-01;20.8000;EUR
2022-06-01;20.1400;EUR
2022-07-01;20.9030;EUR
2022-08-01;20.2520;EUR
2022-09-01;19.4210;EUR
2022-10-01;19.9430;EUR
2022-11-01;20.5630;EUR
2022-12-01;19.8290;EUR
2023-01-01;20.3630;EUR
2023-02-01;20.0930;EUR
2023-03-01;20.4750;EUR
2023-04-01;20.5740;EUR
2023-05-01;20.7070;EUR
2023-06-01;20.9700;EUR
2023-07-01;21.1870;EUR
2023-08-01;21.0270;EUR
2023-09-01;20.7190;EUR
2023-10-01;20.4980;EUR
2023-11-01;21.2760;EUR
2023-12-01;21.8500;EUR
2024-01-01;22.1630;EUR
2024-02-01;22.3440;EUR
2024-03-01;22.8010;EUR
2024-04-01;22.4380;EUR
2024-05-01;22.6670;EUR
2024-06-01;23.1520;EUR
2024-07-01;23.2910;EUR
2024-08-01;23.3930;EUR
2024-09-01;23.5530;EUR
2024-10-01;23.3970;EUR
2024-11-01;23.9450;EUR
2024-12-01;23.7350;EUR
2025-01-01;24.2750;EUR
2025-02-01;24.3440;EUR
2025-03-01;23.7330;EUR
2025-04-01;23.6270;EUR
2025-05-01;24.2520;EUR
2025-06-01;24.4460;EUR
2025-07-01;24.6640;EUR
2025-08-01;24.7050;EUR
2025-09-01;25.0800;EUR
2025-10-01;25.4370;EUR
2025-11-01;25.3900;EUR
